,2017,2018,2019,2020,2021,2022
Ene,93.603999999999999,98.795000000000002,103.10299999999999,106.447,110.20999999999999,118.002
Feb,94.144999999999996,99.171000000000006,103.07899999999999,106.889,110.907,0
Mar,94.721999999999994,99.492000000000004,103.476,106.83799999999999,111.824,0
Abr,94.838999999999999,99.155000000000001,103.53100000000001,105.755,112.19,0
May,94.724999999999994,98.994,103.233,106.16200000000001,112.419,0
Jun,94.963999999999999,99.376000000000005,103.29900000000001,106.74299999999999,113.018,0
Jul,95.322999999999993,99.909000000000006,103.687,107.444,113.682,0
Ago,95.793999999999997,100.492,103.67,107.867,113.899,0
Sep,96.093999999999994,100.917,103.94199999999999,108.114,114.601,0
Oct,96.697999999999993,101.44,104.503,108.774,115.56100000000001,0
Nov,97.694999999999993,102.303,105.346,108.85599999999999,116.884,0
Dic,98.272999999999996,103.02,105.934,109.271,117.30800000000001,0
